,ms_location,latitude,longitude,localite
521,608-01-19082-00011,14.8486863,-15.84759998,NDAME/MBACKE/DIOURBEL
737,608-01-03012-30391,14.5153192,-16.9425973,SINDIA/MBOUR/THIES
740,608-01-03012-41877,14.4266918,-16.9946803,SALY PORTUDAL/MBOUR/THIES
660,608-01-00818-00001,16.028762,-16.508092,SAINT LOUIS/SAINT LOUIS/SAINT-LOUIS
411,608-01-09022-43213,13.1240783,-13.6807617,BONCONTO/VELINGARA/KOLDA
678,608-01-01036-00003,14.75674809,-17.4349775,PARCELLES ASSAINIES/DAKAR/DAKAR
626,608-01-00674-00006,15.04486432,-16.04869978,DAROU MOUSTY/KEBEMER/LOUGA
513,608-01-09042-63492,14.868639,-15.907008,NDAME/MBACKE/DIOURBEL
859,608-01-09000-00304,14.66986901,-17.439786,DAKAR PLATEAU/DAKAR/DAKAR
136,608-01-02013-29137,14.63863334,-16.23650834,DIOURBEL/DIOURBEL/DIOURBEL
811,608-01-04016-46628,14.4250922,-16.9460039,MBOUR/MBOUR/THIES
76,608-01-00712-33742,13.02563633,-11.416941928,SABODALA/SARAYA/KEDOUGOU
636,608-01-00711-11598,13.6239852,-13.5911285,MISSIRAH/TAMBACOUNDA/TAMBACOUNDA
973,608-01-09020-24973,14.13338524,-16.07309299,KAOLACK/KAOLACK/KAOLACK
938,608-01-09012-13165,15.62431278,-16.21721733,LOUGA/LOUGA/LOUGA
899,608-01-09005-12786,14.69465002,-16.4535059,BAMBEY/BAMBEY/DIOURBEL
280,608-01-04441-00011,14.9500632,-16.817763,TIVAOUANE/TIVAOUANE/THIES
883,608-01-09003-10513,14.74872812,-17.3940958,PIKINE DAGOUDANE/PIKINE/DAKAR
761,608-01-03460-00001,14.73971699,-17.32179835,THIAROYE/PIKINE/DAKAR
319,608-01-09004-10916,14.66135163,-16.85699227,NOTTO/THIES/THIES
549,608-01-00116-27639,14.73456322,-17.49570013,ALMADIES/DAKAR/DAKAR
174,608-01-03012-41598,14.46931,-16.94703,SINDIA/MBOUR/THIES
371,608-01-09013-46253,13.9186272,-16.61151262,NIODIOR/FOUNDIOUGNE/FATICK
527,608-01-30330-00011,14.45065633,-16.96796353,SINDIA/MBOUR/THIES
210,608-01-03974-00002,12.82828484,-14.87124422,DIOULACOLON/KOLDA/KOLDA
235,608-01-04011-57494,14.6613516,-16.8569923,NOTTO/THIES/THIES
101,608-01-00993-00006,14.69300815,-17.4541221,DAKAR PLATEAU/DAKAR/DAKAR
986,608-01-09023-46163,12.8044749,-16.24136054,BIGNONA/BIGNONA/ZIGUINCHOR
902,608-01-09005-12971,14.651421,-16.257632,DIOURBEL/DIOURBEL/DIOURBEL
947,608-01-09013-51914,14.420914,-16.702789,THIADIAYE/MBOUR/THIES
346,608-01-09009-01744,14.7856086,-17.38259581,GUEDIAWAYE/GUEDIAWAYE/DAKAR
139,608-01-02291-00003,14.91110075,-17.12350154,KAYAR/THIES/THIES
621,608-01-00628-00011,13.98012295,-16.26599109,PASSY/FOUNDIOUGNE/FATICK
499,608-01-09036-48175,15.9627358,-13.5943167,THILOGNE/MATAM/MATAM
370,608-01-09013-03754,14.43173093,-16.96712021,MBOUR/MBOUR/THIES
198,608-01-03464-00006,14.4421577,-16.995291,SALY PORTUDAL/MBOUR/THIES
687,608-01-01402-00003,14.71981537,-17.48688141,ALMADIES/DAKAR/DAKAR
584,608-01-00228-39611,15.4454025,-16.3038361,SAGATTA GUETH/KEBEMER/LOUGA
901,608-01-09005-12853,14.651947,-16.222336,DIOURBEL/DIOURBEL/DIOURBEL
59,608-01-00644-00005,12.80271703,-16.23257253,BIGNONA/BIGNONA/ZIGUINCHOR
328,608-01-09005-25725,14.78482578,-16.08469766,NDAME/MBACKE/DIOURBEL
96,608-01-00827-29856,15.14216206,-16.88888106,MBORO/TIVAOUANE/THIES
312,608-01-09003-16464,14.7389219,-17.4031698,PIKINE DAGOUDANE/PIKINE/DAKAR
974,608-01-09020-25006,14.1499211,-16.06682426,KAOLACK/KAOLACK/KAOLACK
299,608-01-09001-18012,14.7500837,-17.4364166,PARCELLES ASSAINIES/DAKAR/DAKAR
277,608-01-04115-00002,14.24139722,-15.7230744,KEUR MBOUCKI/BIRKELANE/KAFFRINE
924,608-01-09008-61933,14.71205342,-17.47692695,ALMADIES/DAKAR/DAKAR
601,608-01-00407-26758,15.32660959,-12.87846551,ORKADIERE/KANEL/MATAM
439,608-01-09026-49788,14.68976773,-12.77930083,ORKADIERE/KANEL/MATAM
837,608-01-04315-00004,14.77199,-17.37875,GUEDIAWAYE/GUEDIAWAYE/DAKAR
570,608-01-00201-28533,14.72741313,-16.96336793,KEUR MOUSSEU (KEUR MOUSSA)/THIES/THIES
879,608-01-09003-02166,14.754488,-17.375237,THIAROYE/PIKINE/DAKAR
261,608-01-04018-20379,14.4886885,-16.9931374,SINDIA/MBOUR/THIES
578,608-01-00227-29640,15.621902,-16.2321343,LOUGA/LOUGA/LOUGA
23,608-01-00164-19910,14.73269,-17.31087,THIAROYE/PIKINE/DAKAR
30,608-01-00206-34265,14.40851108,-16.95561402,MBOUR/MBOUR/THIES
617,608-01-00601-34668,14.171897,-16.074023,KAOLACK/KAOLACK/KAOLACK
10,608-01-00116-22641,14.7594889,-17.4712339,ALMADIES/DAKAR/DAKAR
221,608-01-04005-10123,14.7653648,-16.6894489,KHOMBOLE/THIES/THIES
820,608-01-04018-50006,14.6709167,-17.0673293,SINDIA/MBOUR/THIES
296,608-01-09001-04781,14.74069104,-17.4651176,PARCELLES ASSAINIES/DAKAR/DAKAR
54,608-01-00601-24992,14.16884057,-16.05712827,KAOLACK/KAOLACK/KAOLACK
542,608-01-87055-00001,13.6533616,-14.6883621,BAMBA NDIAYENE (BAMBA THIALENE)/KOUMPENTOUM/TAMBACOUNDA
209,608-01-03914-00001,14.79671119,-15.54962462,TAIF/MBACKE/DIOURBEL
604,608-01-00411-25248,16.04154493,-13.7299783,AGNAM CIVOL/MATAM/MATAM
692,608-01-01810-00002,14.72629302,-17.4615026,GRAND DAKAR/DAKAR/DAKAR
662,608-01-00821-20085,14.76817332,-17.3807066,PIKINE DAGOUDANE/PIKINE/DAKAR
866,608-01-09001-38372,14.75040182,-17.4490551,PARCELLES ASSAINIES/DAKAR/DAKAR
70,608-01-00710-33869,13.49474304,-14.39957116,MAKACOULIBANTANG/TAMBACOUNDA/TAMBACOUNDA
543,608-01-00018-00003,14.70016867,-17.4740085,DAKAR PLATEAU/DAKAR/DAKAR
107,608-01-01062-00008,14.46205062,-12.2121162,KIDIRA/BAKEL/TAMBACOUNDA
493,608-01-09036-15783,15.608,-13.325806,OUROSSOGUI/MATAM/MATAM
590,608-01-00305-29524,14.59980133,-15.4056428,DAROU MINAM II/MALEM HODDAR/KAFFRINE
741,608-01-03013-24285,14.6986593,-17.0682122,KEUR MOUSSEU (KEUR MOUSSA)/THIES/THIES
292,608-01-09000-18341,14.67115831,-17.4245063,DAKAR PLATEAU/DAKAR/DAKAR
289,608-01-09000-00209,14.67372253,-17.43931826,DAKAR PLATEAU/DAKAR/DAKAR
652,608-01-00720-04896,12.80557273,-16.2250874,BIGNONA/BIGNONA/ZIGUINCHOR
39,608-01-00306-28351,14.04954869,-14.51935155,BAMBA NDIAYENE (BAMBA THIALENE)/KOUMPENTOUM/TAMBACOUNDA
589,608-01-00296-00004,14.74100855,-17.40841,PIKINE DAGOUDANE/PIKINE/DAKAR
307,608-01-09002-19651,14.71974819,-17.4499656,GRAND DAKAR/DAKAR/DAKAR
679,608-01-01089-00005,13.14993807,-14.10830281,VELINGARA/VELINGARA/KOLDA
66,608-01-00710-09807,13.94296384,-14.30538605,MALEME NIANI/KOUMPENTOUM/TAMBACOUNDA
275,608-01-04019-00017,16.51117586,-14.64772818,NDIOUM/PODOR/SAINT LOUIS
67,608-01-00710-12571,13.98157581,-14.5588532,KOUMPENTOUM/KOUMPENTOUM/TAMBACOUNDA
318,608-01-09004-10226,14.90300539,-16.88050589,PAMBAL/TIVAOUANE/THIES
548,608-01-00116-00747,14.760103,-17.468361,ALMADIES/DAKAR/DAKAR
998,608-01-09025-19172,14.68211172,-17.4456758,DAKAR PLATEAU/DAKAR/DAKAR
714,608-01-02380-00005,14.79981667,-15.88048067,NDAME/MBACKE/DIOURBEL
753,608-01-03242-00003,12.56747622,-15.6810189,DIATTACOUNDA/GOUDOMP/SEDHIOU
327,608-01-09005-14342,14.6220021,-16.4753893,NGOYE/BAMBEY/DIOURBEL
382,608-01-09016-06784,14.78480854,-17.34073715,YEUMBEUL/KEUR MASSAR/DAKAR
451,608-01-09028-11571,14.71708471,-17.2900151,RUFISQUE/RUFISQUE/DAKAR
522,608-01-19097-00005,15.61235218,-16.24020285,LOUGA/LOUGA/LOUGA
218,608-01-04003-54754,14.8821382,-15.9551598,NDAME/MBACKE/DIOURBEL
787,608-01-04005-57994,14.7986471,-16.2982334,NDINDY/DIOURBEL/DIOURBEL
436,608-01-09026-05596,14.041502,-12.198694,KENIEBA/BAKEL/TAMBACOUNDA
764,608-01-03532-00011,14.170931,-16.081453,KAOLACK/KAOLACK/KAOLACK
88,608-01-00762-00004,12.89216111,-14.9413944,KOLDA/KOLDA/KOLDA
63,608-01-00707-01573,13.14478747,-14.1144382,VELINGARA/VELINGARA/KOLDA
826,608-01-04018-56939,14.5076558,-17.0027962,NGUEKOKH/MBOUR/THIES
716,608-01-02663-00006,14.76723368,-17.23612735,BAMBILOR/RUFISQUE/DAKAR
351,608-01-09010-05098,14.74528667,-17.32138391,THIAROYE/PIKINE/DAKAR
936,608-01-09012-08097,15.10138663,-16.86833522,MEOUANE/TIVAOUANE/THIES
256,608-01-04016-56065,14.4439382,-16.9564611,SINDIA/MBOUR/THIES
635,608-01-00711-10032,14.002561,-13.414135,KOULOR/GOUDIRY/TAMBACOUNDA
644,608-01-00714-04262,14.01871096,-16.0217885,KOUMBAL/KAOLACK/KAOLACK
554,608-01-00118-21169,14.690615881,-17.452637999,DAKAR PLATEAU/DAKAR/DAKAR
959,608-01-09016-51616,14.78035416,-17.29035207,JAXAAY/KEUR MASSAR/DAKAR
168,608-01-03008-43650,14.8748992,-15.8340194,NDAME/MBACKE/DIOURBEL
917,608-01-09008-04493,14.70785607,-17.4630407,ALMADIES/DAKAR/DAKAR
528,608-01-70372-00006,16.106637,-16.341463,RAO/SAINT LOUIS/SAINT LOUIS
823,608-01-04018-50607,14.568347,-17.127022,POPENGUINE/MBOUR/THIES
985,608-01-09023-14876,12.79554671,-16.22304917,TENGHORY/BIGNONA/ZIGUINCHOR
816,608-01-04016-59659,14.4107697,-16.9654898,MBOUR/MBOUR/THIES
86,608-01-00724-00030,14.69465,-16.4535059,BAMBEY/BAMBEY/DIOURBEL
432,608-01-09025-19182,14.69243115,-17.44545644,DAKAR PLATEAU/DAKAR/DAKAR
184,608-01-03016-42927,14.7729535,-16.9372149,THIES/THIES/THIES
978,608-01-09021-21423,15.99405589,-16.48714554,SAINT LOUIS/SAINT LOUIS/SAINT LOUIS
534,608-01-71563-00001,14.76758,-17.10337,KEUR MOUSSEU (KEUR MOUSSA)/THIES/THIES
294,608-01-09000-36431,14.668258,-17.433069,DAKAR PLATEAU/DAKAR/DAKAR
892,608-01-09004-07262,14.77421754,-16.95236447,THIES/THIES/THIES
425,608-01-09024-45192,14.44832177,-16.98555328,SALY PORTUDAL/MBOUR/THIES
713,608-01-02134-00001,13.38694243,-13.73318729,MISSIRAH/TAMBACOUNDA/TAMBACOUNDA
260,608-01-04018-02895,14.5960562,-17.1467614,DIAMNIADIO/RUFISQUE/DAKAR
237,608-01-04011-58326,14.7756624,-16.9342391,THIES/THIES/THIES
559,608-01-00121-00007,14.73589156,-17.45088867,PARCELLES ASSAINIES/DAKAR/DAKAR
583,608-01-00228-38647,14.980516,-16.767562,TIVAOUANE/TIVAOUANE/THIES
445,608-01-09027-45784,13.070155,-15.642338,MEDINA WANDIFA/BOUNKILING/SEDHIOU
867,608-01-09001-45533,14.73086888,-17.4225478,GRAND DAKAR/DAKAR/DAKAR
800,608-01-04011-58834,14.7811494,-16.9210713,THIES/THIES/THIES
599,608-01-00398-00002,12.57312651,-16.2944789,ZIGUINCHOR/ZIGUINCHOR/ZIGUINCHOR
849,608-01-05007-02921,13.396527,-13.386307,MISSIRAH/TAMBACOUNDA/TAMBACOUNDA
265,608-01-04018-51140,14.6827482,-17.1292708,SINDIA/MBOUR/THIES
995,608-01-09024-60625,14.47546341,-17.03790734,SINDIA/MBOUR/THIES
529,608-01-70531-00017,14.702704,-16.8774798,NOTTO/THIES/THIES
55,608-01-00601-25968,14.16384351,-16.06477677,KAOLACK/KAOLACK/KAOLACK
120,608-01-01425-00011,14.72511135,-17.12083514,DIAMNIADIO/RUFISQUE/DAKAR
215,608-01-04001-57967,14.8656572,-15.8830707,NDAME/MBACKE/DIOURBEL
25,608-01-00201-25819,14.77473,-16.91636,THIES/THIES/THIES
72,608-01-00711-09454,14.18199562,-12.7146149,GOUDIRY/GOUDIRY/TAMBACOUNDA
44,608-01-00393-00035,14.7383694,-17.4735668,ALMADIES/DAKAR/DAKAR
247,608-01-04012-57269,14.9686392,-16.9003941,PAMBAL/TIVAOUANE/THIES
721,608-01-02879-00011,13.76605758,-15.5868688,MEDINA SABAKH/NIORO DU RIP/KAOLACK
281,608-01-04523-00006,14.770283,-16.807445,THIENABA/THIES/THIES
893,608-01-09004-26526,14.78114939,-16.92107132,THIES/THIES/THIES
914,608-01-09007-51065,15.94237,-15.90747,KEUR MOMAR SARR/LOUGA/LOUGA
810,608-01-04016-45760,14.41276,-16.97706,MBOUR/MBOUR/THIES
244,608-01-04011-59064,14.807955,-16.904866,THIES/THIES/THIES
822,608-01-04018-50575,14.5902316,-17.0621664,SINDIA/MBOUR/THIES
321,608-01-09004-21541,14.7942216,-16.9291557,THIES/THIES/THIES
643,608-01-00713-34297,13.13414179,-13.761044,BONCONTO/VELINGARA/KOLDA
158,608-01-03000-00005,14.7421062,-17.2473182,BAMBILOR/RUFISQUE/DAKAR
977,608-01-09021-16824,16.03345937,-16.503896,SAINT LOUIS/SAINT LOUIS/SAINT LOUIS
429,608-01-09025-00832,14.69180321,-17.4338666,GRAND DAKAR/DAKAR/DAKAR
941,608-01-09012-45826,14.96863917,-16.90039411,PAMBAL/TIVAOUANE/THIES
462,608-01-09029-45146,13.763141,-15.905112,PAOSKOTO/NIORO DU RIP/KAOLACK
309,608-01-09002-37203,14.71183699,-17.4548245,GRAND DAKAR/DAKAR/DAKAR
697,608-01-02001-34733,14.825787,-15.912194,TOUBA MOSQUEE/MBACKE/DIOURBEL
60,608-01-00703-00003,15.965347873,-16.448726656,RAO/SAINT LOUIS/SAINT LOUIS
884,608-01-09003-16468,14.7389219,-17.4031698,PIKINE DAGOUDANE/PIKINE/DAKAR
595,608-01-00325-00033,14.77561214,-17.30292137,MALIKA/KEUR MASSAR/DAKAR
767,608-01-03775-00003,15.10138663,-16.86833522,MEOUANE/TIVAOUANE/THIES
649,608-01-00715-39302,12.561433,-16.292822,ZIGUINCHOR/ZIGUINCHOR/ZIGUINCHOR
650,608-01-00716-00040,14.989943,-17.006745,PAMBAL/TIVAOUANE/THIES
865,608-01-09001-38093,14.73873,-17.445638,PARCELLES ASSAINIES/DAKAR/DAKAR
668,608-01-00882-00003,14.953619,-16.810027,TIVAOUANE/TIVAOUANE/THIES
298,608-01-09001-13045,14.73669338,-17.4253879,GRAND DAKAR/DAKAR/DAKAR
689,608-01-01627-00000,14.52787695,-17.0346298,SINDIA/MBOUR/THIES
314,608-01-09003-40111,14.76155139,-17.3780348,THIAROYE/PIKINE/DAKAR
310,608-01-09003-03051,14.74298232,-17.39058873,THIAROYE/PIKINE/DAKAR
361,608-01-09012-22677,15.25973,-16.84194,MEOUANE/TIVAOUANE/THIES
479,608-01-09032-53831,14.509503,-16.234225,NDIOB/FATICK/FATICK
110,608-01-01183-00006,14.703005,-17.470156,ALMADIES/DAKAR/DAKAR
989,608-01-09024-20373,14.48868847,-16.99313743,SINDIA/MBOUR/THIES
486,608-01-09034-12002,14.85723425,-15.86812797,NDAME/MBACKE/DIOURBEL
363,608-01-09012-24668,15.47688131,-16.33863839,GUEOUL/KEBEMER/LOUGA
254,608-01-04016-55888,14.4414247,-16.9642194,MBOUR/MBOUR/THIES
259,608-01-04017-57608,14.952231,-16.805381,TIVAOUANE/TIVAOUANE/THIES
802,608-01-04011-58996,14.8017469,-16.9164504,THIES/THIES/THIES
677,608-01-01015-00010,14.75889232,-17.3879494,PIKINE DAGOUDANE/PIKINE/DAKAR
494,608-01-09036-20835,15.05106458,-12.59307685,MOUDERY/BAKEL/TAMBACOUNDA
670,608-01-00939-00003,14.917055,-15.88381,NDAME/MBACKE/DIOURBEL
377,608-01-09015-12194,14.824516,-15.90359028,NDAME/MBACKE/DIOURBEL
526,608-01-24240-00010,14.08198776,-16.69044437,FIMELA/FATICK/FATICK
845,608-01-04691-00002,12.69675204,-14.69056477,DIOULACOLON/KOLDA/KOLDA
137,608-01-02017-29380,14.83440812,-15.88917053,NDAME/MBACKE/DIOURBEL
355,608-01-09010-45354,14.741813,-17.284573,RUFISQUE/RUFISQUE/DAKAR
365,608-01-09012-47765,15.12923028,-16.88888736,MBORO/TIVAOUANE/THIES
942,608-01-09012-48568,15.521954,-16.392647,NDANDE/KEBEMER/LOUGA
749,608-01-03020-40437,14.9428213,-16.8215502,TIVAOUANE/TIVAOUANE/THIES
948,608-01-09013-59644,14.39416597,-16.95273546,MBOUR/MBOUR/THIES
829,608-01-04018-57903,14.4820677,-17.075251,SOMONE/MBOUR/THIES
656,608-01-00720-11580,12.84410685,-16.28159811,TENGHORY/BIGNONA/ZIGUINCHOR
199,608-01-03478-00003,14.81357375,-17.31497736,MALIKA/KEUR MASSAR/DAKAR
213,608-01-04000-60970,14.8421272,-15.8801312,NDAME/MBACKE/DIOURBEL
408,608-01-09022-16272,13.13783945,-13.74983586,BONCONTO/VELINGARA/KOLDA
332,608-01-09005-64071,14.71173922,-16.498037,LAMBAYE/BAMBEY/DIOURBEL
208,608-01-03913-00003,14.63296542,-16.43061441,NGOYE/BAMBEY/DIOURBEL
613,608-01-00469-00002,14.1595835,-16.0652109,KAOLACK/KAOLACK/KAOLACK
78,608-01-00716-09835,13.79565901,-16.1674479,WACK NGOUNA/NIORO DU RIP/KAOLACK
29,608-01-00206-32760,14.37739265,-16.94511756,SINDIA/MBOUR/THIES
535,608-01-71686-00004,15.0388057,-16.2574564,NIAKHENE/TIVAOUANE/THIES
695,608-01-01823-00003,14.69717094,-17.45089235,DAKAR PLATEAU/DAKAR/DAKAR
557,608-01-00118-21948,14.67603491,-17.43763629,DAKAR PLATEAU/DAKAR/DAKAR
836,608-01-04307-00001,14.741813,-17.284573,RUFISQUE/RUFISQUE/DAKAR
596,608-01-00340-00002,14.7786458,-17.3274393,MALIKA/KEUR MASSAR/DAKAR
165,608-01-03005-43349,14.910286,-15.87387,NDAME/MBACKE/DIOURBEL
918,608-01-09008-09075,14.70954687,-17.4671529,ALMADIES/DAKAR/DAKAR
495,608-01-09036-22485,14.90754351,-12.46075377,BAKEL/BAKEL/TAMBACOUNDA
824,608-01-04018-54224,14.4647599,-16.9994156,SINDIA/MBOUR/THIES
65,608-01-00707-28766,13.15179124,-14.11604614,VELINGARA/VELINGARA/KOLDA
141,608-01-02434-00006,14.51871862,-17.00681031,NGUEKOKH/MBOUR/THIES
925,608-01-09008-61943,14.71205342,-17.47692695,ALMADIES/DAKAR/DAKAR
827,608-01-04018-57686,14.4419866,-17.0143456,SALY PORTUDAL/MBOUR/THIES
655,608-01-00720-11576,12.95305619,-16.276189,SINDIAN/BIGNONA/ZIGUINCHOR
331,608-01-09005-46143,14.824363,-16.7477482,THIENABA/THIES/THIES
664,608-01-00821-33262,14.75934676,-17.38068472,THIAROYE/PIKINE/DAKAR
249,608-01-04013-51280,14.9436279,-16.8257863,TIVAOUANE/TIVAOUANE/THIES
907,608-01-09005-63687,14.655075,-16.236841,DIOURBEL/DIOURBEL/DIOURBEL
708,608-01-02018-32411,14.909423,-15.861529,NDAME/MBACKE/DIOURBEL
305,608-01-09001-45325,14.71747681,-17.43748354,GRAND DAKAR/DAKAR/DAKAR
734,608-01-03008-43552,14.8597629,-15.8495021,NDAME/MBACKE/DIOURBEL
975,608-01-09020-50436,14.136156,-16.077205,KAOLACK/KAOLACK/KAOLACK
49,608-01-00415-23441,16.06677572,-16.42442377,RAO/SAINT LOUIS/SAINT LOUIS
896,608-01-09004-45612,14.76758,-17.10337,KEUR MOUSSEU (KEUR MOUSSA)/THIES/THIES
2,608-01-00078-00006,14.68211005,-17.45865935,DAKAR PLATEAU/DAKAR/DAKAR
544,608-01-00037-00006,14.74510973,-17.4894707,ALMADIES/DAKAR/DAKAR
350,608-01-09009-52299,14.7856086,-17.38259581,GUEDIAWAYE/GUEDIAWAYE/DAKAR
904,608-01-09005-52480,14.7539684,-16.430947,LAMBAYE/BAMBEY/DIOURBEL
536,608-01-71709-00005,15.923736,-15.966662,KEUR MOMAR SARR/LOUGA/LOUGA
344,608-01-09008-61194,14.72081405,-17.46784582,GRAND DAKAR/DAKAR/DAKAR
994,608-01-09024-60604,14.51627372,-16.9999888,NGUEKOKH/MBOUR/THIES
481,608-01-09033-03557,14.09321729,-15.55353198,KAFFRINE/KAFFRINE/KAFFRINE
575,608-01-00206-28204,14.45535119,-16.98677491,SALY PORTUDAL/MBOUR/THIES
33,608-01-00228-26842,15.15719329,-16.31755652,NIAKHENE/TIVAOUANE/THIES
31,608-01-00207-28026,14.50765581,-17.00279621,NGUEKOKH/MBOUR/THIES
231,608-01-04008-51214,14.779233,-15.810405,KAEL/MBACKE/DIOURBEL
963,608-01-09017-02597,14.76034366,-17.4486558,PARCELLES ASSAINIES/DAKAR/DAKAR
192,608-01-03202-00001,15.76977273,-13.4661823,OGO/MATAM/MATAM
333,608-01-09007-22797,16.18950882,-15.9092375,NDIAYE MBERESS/DAGANA/SAINT LOUIS
3,608-01-00090-00002,14.71505004,-17.4813975,ALMADIES/DAKAR/DAKAR
204,608-01-03638-00004,14.84349025,-15.86400231,NDAME/MBACKE/DIOURBEL
514,608-01-09043-34301,12.53655568,-16.3604071,NYASSIA/ZIGUINCHOR/ZIGUINCHOR
799,608-01-04011-58629,14.7729535,-16.9372149,THIES/THIES/THIES
306,608-01-09002-07192,14.71757963,-17.46362322,ALMADIES/DAKAR/DAKAR
109,608-01-01102-00003,14.77137527,-17.4177226,PARCELLES ASSAINIES/DAKAR/DAKAR
430,608-01-09025-04628,14.67959385,-17.4548355,DAKAR PLATEAU/DAKAR/DAKAR
77,608-01-00716-00474,13.69078697,-15.8267941,PAOSKOTO/NIORO DU RIP/KAOLACK
84,608-01-00716-39319,13.786603,-16.005163,PAOSKOTO/NIORO DU RIP/KAOLACK
